content,cleaned_content,sentiment
"May update later. But 2 stars for now. Had them in the past. Reopened my account and tried to verify my identity. I'm skinner than I was on my license but still couldn't recognize me. So now I go to try again and it won't let you. Of course, office hours are when everyone else's are.",may update later stars past reopened account tried verify identity skinner license still recognize go try let course office hours everyone else,neutral
Terrible,terrible,negative
xoom stole money from my account,xoom stole money account,neutral
More earnings 😁,earnings,neutral
Fácil uso,fácil uso,neutral
Love this app. It's a life saver,love app life saver,positive
The app is lame. Why do you block screenshot when I can do so on the browser. Plus its freaking slow to load between pages.,app lame block screenshot browser plus freaking slow load pages,negative
"Cecilia Lester Do Love my PayPal-Pay, S...",cecilia lester love paypal pay,positive
Fix your server this is been going on past 2 months notification problem on phone sucks yes all my features work you have a delay in your system on purchases and received money,fix server going past months notification problem phone sucks yes features work delay system purchases received money,negative
"Yeah so I'm trying to collect a gift card from some contest on line well I down load this . Ot charged me 7;90 to download the card that is now locked in the app cause it is using its own email and password so in case y'all don't know what they call that it's extortion , theft , trespassing and loitering it's not my app I don't have comtroll over it and it's got 1000 dollars of my winings",yeah trying collect gift card contest line well load ot charged download card locked app cause using email password case know call extortion theft trespassing loitering app comtroll got dollars winings,positive
Very professional and on point.,professional point,neutral
Great app for more than you think. I'm happy with it,great app think happy,positive
Won't allow me to sign in keeps telling me theres A problem on their end. None of my pass keys work or passwords. Sometimes it'll even say wrong info which I know it is not.,allow sign keeps telling theres problem end none pass keys work passwords sometimes even say wrong info know,negative
The app works very well for everything I have ever needed it for,app works well everything ever needed,positive
Nice,nice,positive
used to be a good app but customer service sucks now. Tried to report an unauthorized activity and was told I authorized it from a hacked account on another app. Avoid at all cost.,used good app customer service sucks tried report unauthorized activity told authorized hacked account another app avoid cost,negative
